Treatment,Outcome,Model,ATE,CI_Low,CI_High,Significant,Impact_Power
pct_households_no_vehicle,Obesity Rate (%),DML + Embeddings,8.659831863943506,2.5797643674986697,14.73989936038834,YES,8.659831863943506
pct_households_no_vehicle,Diabetes Rate (%),DML + Embeddings,2.2484139666512286,0.0281673043334187,4.468660628969039,YES,2.2484139666512286
Cost Per Meal,Diabetes Rate (%),DML + Embeddings,-1.7948730958103896,-2.88568853469271,-0.7040576569280697,YES,1.7948730958103896
SNAP_Participation_Rate_Pct,Obesity Rate (%),DML + Embeddings,0.1190617416420446,0.0740104507994109,0.1641130324846783,YES,0.1190617416420446
SNAP_Participation_Rate_Pct,Diabetes Rate (%),DML + Embeddings,0.0411587724004552,0.0272245369408163,0.0550930078600941,YES,0.0411587724004552
