FIPS,State,County,effect_Cost_Per_Meal_on_obesity,effect_Cost_Per_Meal_on_diabetes,effect_Cost_Per_Meal_on_TOT,effect_SNAP_Participation_Rate_Pct_on_obesity,effect_SNAP_Participation_Rate_Pct_on_diabetes,effect_SNAP_Participation_Rate_Pct_on_TOT,effect_Median_Household_Income_on_obesity,effect_Median_Household_Income_on_diabetes,effect_Median_Household_Income_on_TOT,effect_pct_households_no_vehicle_on_obesity,effect_pct_households_no_vehicle_on_diabetes,effect_pct_households_no_vehicle_on_TOT,effect_No_SNAP_Below_Poverty_Gap_on_obesity,effect_No_SNAP_Below_Poverty_Gap_on_diabetes,effect_No_SNAP_Below_Poverty_Gap_on_TOT
21065,KY,Estill,1.709547106225027,-2.5675354977797635,-1947.3400065403684,0.055262862399623025,0.05207520193757434,-39.264499296774176,-0.00012612212505087108,-0.00018006336346994295,-0.23179189754872326,24.617341517954216,9.978058256791101,1749.1287123438337,-0.00011570648932538653,2.177439385934019e-05,0.07863723159050241
21069,KY,Fleming,1.7321658326829465,-3.572284303119111,-2478.1618619516553,0.06363880561550145,0.0839796838350896,-7.260846496831242,2.664848800045021e-05,-0.00025584603957596545,-0.24468411724981243,22.445251177060065,13.851611927955876,5056.993024739316,-8.890565259200438e-05,7.732757933532461e-05,0.12129142999172876
21093,KY,Hardin,5.395316566452548,-1.9541273248868398,2376.611170293864,0.11773636498095556,0.06976245279295164,-9.275627239461823,-0.00034483242980513516,-0.00021388226525771747,-0.035151795028731926,1.348220149316,-3.2384307603333844,-8507.601918839118,-0.0001871040649451556,-1.9584953455991813e-06,-0.0007220984229858729
21099,KY,Hart,1.5879215617783806,-3.387686459577144,-1771.2091267478518,0.04562633095253531,0.08264438102735129,2.7308367705726617,-0.00016606834718568456,-0.00021537964390301635,-0.1312753265155166,17.427470042861152,9.044554033646047,1471.3717615973433,-8.273173860895443e-05,3.217964552691304e-05,0.08402812739676188
21131,KY,Leslie,-1.0734042316681243,-3.119710696130504,-5728.1076736787445,0.07032839070718644,0.10983005998652243,27.321448879626676,-6.123278279673063e-05,-0.00021644396506507327,-0.34916911423033226,34.96425676603329,25.339907708850056,16002.95243944281,5.2485443126761315e-05,0.00010361228872740296,0.19243765205667135
21151,KY,Madison,4.2566792805504345,-2.212976063687024,480.20251259966926,0.10525288489960823,0.07122117359292082,8.968630467558604,-0.00030246121597998316,-0.00019707412394211372,-0.08942139946621168,5.204978418352381,0.7474238439026575,-4750.898032512711,-0.00012477529591760247,1.3122532943162257e-05,0.023778096738143677
21155,KY,Marion,2.5092641997165925,-2.680111643114209,268.9994295790143,0.05073453313643368,0.0836253573473626,13.927451789920438,-0.00023739601815244812,-0.00019396937705482036,-0.0687858014514787,10.672019272971587,3.5220228918048644,-1756.173694167674,-0.0001375596110860137,-3.056082312339198e-06,0.03378003965202998
21179,KY,Nelson,3.6833269852779704,-2.4524681843160567,262.3856148937666,0.04374399201116334,0.028592768651451647,-1.7168894866371147,-8.296430914921679e-05,-0.00014508836031663124,-0.08770270593743486,7.2430053424178205,-3.1646727431717334,-6100.89352160875,-0.00018449531224678,-3.355436391119039e-05,-0.02924178448669421
17091,IL,Kankakee,-2.0398775369060758,-3.5248359649060017,1007.0544209860292,0.13428790330324358,0.05640594100088419,-23.515971565605366,-0.00036596853469451717,-7.685741876885342e-06,-0.102106189674116,3.4962926510874976,1.4563349454267116,227.4427512068969,-3.0066237950535923e-05,-2.1695081262873263e-05,-0.005477928525570496
17187,IL,Warren,-3.964838183780109,-3.5912477616857874,179.3247343691487,0.09912094376350941,0.08438067966586987,13.192188723826002,-0.0002815789199527859,3.631513665565312e-05,-0.08832643331137043,6.5135621460612665,6.151981860067762,5408.3421919483935,-9.951496283044947e-06,-3.0805658658546996e-05,0.009025038079239786
17197,IL,Will,2.377181372248752,-1.4479939210153292,867.984804138071,0.35256497391020053,0.006107888349289471,-80.5516973733911,-0.000811281618410881,-1.3790283027071887e-05,0.07222087969334595,-9.320543879814918,-4.338246310434235,-10162.489946553855,6.323578786804785e-05,1.806627995682378e-05,0.037941682451810566
18027,IN,Daviess,3.0778570255416327,-3.741403045579163,-1236.753434713433,0.06269636485226232,0.08200995944519539,50.59929880841949,-3.8573748198345807e-07,-0.00020510874362168028,-0.026231002781760132,3.3245615959197785,3.0484155430361435,-1616.9832734307838,-9.718304831689457e-05,3.074869591862596e-05,0.03884283694914581
1001,AL,Autauga,5.46834725489152,-1.180648170922522,1585.375630182959,0.1200001816091091,0.02153768637335452,-17.11199504072726,-0.00022099358068961331,-0.00015804561587274643,-0.0938626554092907,4.9712434035456585,-5.467356214822469,-7621.488234185736,-0.0001960222009410273,-2.837524865214585e-05,-0.038218049427066386
1005,AL,Barbour,0.071812771681393,-1.790744487377815,-2050.891086637953,0.021555411792920504,0.05324128510619043,35.83657957033223,-0.00013361255835604534,-0.0001373392074861858,-0.16748294111839146,23.148968302057,8.337213586771114,6680.572246105872,-8.425878348347122e-05,-2.3667482975679682e-05,0.04272461355252196
1023,AL,Choctaw,1.7330530811467388,-2.0535652182223987,-1179.195001960838,0.03834634437775683,0.0021138508848951437,-55.74675575748657,0.00011881719391769252,-0.000171916682973603,-0.1725003628688507,26.90978595142898,5.952329135956445,1401.7903021196498,-0.00020328347934504018,-1.7298443704044222e-05,0.043153111796288175
1035,AL,Conecuh,-0.6135036022257973,-1.4222759473708289,-4158.866167156147,0.12581267618109926,0.0721770861809209,3.124779595175923,-6.968149039570499e-05,-0.00023050180204710007,-0.13614048272029047,34.218179039708275,21.897939675299625,14042.11154662038,-5.965095789284495e-06,7.287606348275545e-05,0.2063941900808745
1051,AL,Elmore,5.655732284337472,-0.7548509825422904,1358.8217386044253,0.1334514977548694,0.011497759348654643,-19.544636671362518,-0.0002484381896918348,-0.00011639192337725129,-0.08002223021285929,3.9193368155892445,-6.448306727320098,-8547.91555502989,-0.00018938756794881217,-4.1069930870265855e-05,-0.05013734689942413
1055,AL,Etowah,4.084523335481684,-0.8776550412759538,1831.711013447281,0.10418383337347499,0.04189592719179769,-32.38858522395198,-0.00022456954119331167,-0.0001795085106564686,-0.1341776411585865,13.379065368193668,0.7701229111198673,-3704.8451293988683,-0.0002193948800745752,-1.874534953458274e-05,0.011429460002486971
1089,AL,Madison,5.942727684355189,-0.5707127519261233,1356.1981133723496,0.1692907885480129,0.03993042898796518,39.30112259706506,-0.00020209809917927016,-0.00014251581729170647,-0.03791204008293572,-3.6614444859427415,-4.772750234102465,-5915.884055251508,-0.00015662720411977848,-8.67187663888659e-06,-0.025716826737930198
