fips,state_abbr,min_wage_2023
48203,TX,7.25
48209,TX,7.25
48213,TX,7.25
48215,TX,7.25
48217,TX,7.25
48219,TX,7.25
48221,TX,7.25
48223,TX,7.25
48225,TX,7.25
48227,TX,7.25
48231,TX,7.25
48233,TX,7.25
48241,TX,7.25
48245,TX,7.25
48249,TX,7.25
48251,TX,7.25
48255,TX,7.25
48257,TX,7.25
48259,TX,7.25
48265,TX,7.25
48273,TX,7.25
48279,TX,7.25
48281,TX,7.25
48285,TX,7.25
48289,TX,7.25
48291,TX,7.25
48293,TX,7.25
48297,TX,7.25
48299,TX,7.25
48303,TX,7.25
48309,TX,7.25
48313,TX,7.25
48315,TX,7.25
48321,TX,7.25
48323,TX,7.25
48325,TX,7.25
48329,TX,7.25
48335,TX,7.25
48339,TX,7.25
48341,TX,7.25
48343,TX,7.25
48349,TX,7.25
48355,TX,7.25
48361,TX,7.25
48363,TX,7.25
48367,TX,7.25
48371,TX,7.25
48373,TX,7.25
48375,TX,7.25
48381,TX,7.25
48387,TX,7.25
48389,TX,7.25
48391,TX,7.25
37105,NC,7.25
48397,TX,7.25
48401,TX,7.25
48413,TX,7.25
48415,TX,7.25
48423,TX,7.25
48425,TX,7.25
48437,TX,7.25
37103,NC,7.25
48439,TX,7.25
48441,TX,7.25
48447,TX,7.25
37099,NC,7.25
48453,TX,7.25
48455,TX,7.25
48459,TX,7.25
48465,TX,7.25
48467,TX,7.25
48469,TX,7.25
48471,TX,7.25
48473,TX,7.25
48477,TX,7.25
48479,TX,7.25
48481,TX,7.25
48485,TX,7.25
48489,TX,7.25
37127,NC,7.25
48491,TX,7.25
48493,TX,7.25
48499,TX,7.25
48505,TX,7.25
48507,TX,7.25
49005,UT,7.25
49009,UT,7.25
49011,UT,7.25
49015,UT,7.25
49019,UT,7.25
49025,UT,7.25
49029,UT,7.25
49035,UT,7.25
49045,UT,7.25
49049,UT,7.25
49057,UT,7.25
50001,VT,13.18
50003,VT,13.18
50009,VT,13.18
50011,VT,13.18
50015,VT,13.18
50017,VT,13.18
50019,VT,13.18
50021,VT,13.18
50025,VT,13.18
50027,VT,13.18
51001,VA,12.0
51041,VA,12.0
51047,VA,12.0
51051,VA,12.0
51075,VA,12.0
51093,VA,12.0
51095,VA,12.0
51099,VA,12.0
51101,VA,12.0
51105,VA,12.0
51117,VA,12.0
51121,VA,12.0
51143,VA,12.0
51149,VA,12.0
51153,VA,12.0
51165,VA,12.0
51177,VA,12.0
37139,NC,7.25
51179,VA,12.0
51193,VA,12.0
51540,VA,12.0
51550,VA,12.0
51570,VA,12.0
51610,VA,12.0
51660,VA,12.0
51670,VA,12.0
37131,NC,7.25
51680,VA,12.0
51685,VA,12.0
51690,VA,12.0
51700,VA,12.0
51740,VA,12.0
51810,VA,12.0
53011,WA,15.74
53033,WA,15.74
37173,NC,7.25
37163,NC,7.25
53035,WA,15.74
53041,WA,15.74
54001,WV,8.75
54003,WV,8.75
54007,WV,8.75
54009,WV,8.75
54011,WV,8.75
54017,WV,8.75
54019,WV,8.75
54023,WV,8.75
54025,WV,8.75
54027,WV,8.75
54029,WV,8.75
54031,WV,8.75
54033,WV,8.75
54035,WV,8.75
54037,WV,8.75
54039,WV,8.75
54043,WV,8.75
54045,WV,8.75
54049,WV,8.75
54053,WV,8.75
54055,WV,8.75
54057,WV,8.75
54061,WV,8.75
54065,WV,8.75
54067,WV,8.75
54069,WV,8.75
54071,WV,8.75
54073,WV,8.75
54077,WV,8.75
54081,WV,8.75
37175,NC,7.25
54091,WV,8.75
54095,WV,8.75
54097,WV,8.75
54099,WV,8.75
54101,WV,8.75
54109,WV,8.75
55035,WI,7.25
55039,WI,7.25
55055,WI,7.25
36069,NY,14.2
36075,NY,14.2
36071,NY,14.2
36079,NY,14.2
36077,NY,14.2
36073,NY,14.2
37033,NC,7.25
37005,NC,7.25
37075,NC,7.25
37149,NC,7.25
37121,NC,7.25
37177,NC,7.25
38079,ND,7.25
38021,ND,7.25
38101,ND,7.25
38059,ND,7.25
38011,ND,7.25
38071,ND,7.25
39001,OH,10.1
38023,ND,7.25
37191,NC,7.25
38099,ND,7.25
38103,ND,7.25
38003,ND,7.25
38063,ND,7.25
38065,ND,7.25
38069,ND,7.25
38081,ND,7.25
38037,ND,7.25
38053,ND,7.25
38055,ND,7.25
38075,ND,7.25
38005,ND,7.25
38073,ND,7.25
38097,ND,7.25
38013,ND,7.25
38009,ND,7.25
38067,ND,7.25
38091,ND,7.25
38041,ND,7.25
38043,ND,7.25
38095,ND,7.25
37187,NC,7.25
38083,ND,7.25
38007,ND,7.25
38085,ND,7.25
38019,ND,7.25
38051,ND,7.25
38025,ND,7.25
38027,ND,7.25
38057,ND,7.25
38001,ND,7.25
38047,ND,7.25
38029,ND,7.25
38033,ND,7.25
38031,ND,7.25
38045,ND,7.25
38087,ND,7.25
39029,OH,10.1
39007,OH,10.1
39035,OH,10.1
39033,OH,10.1
39031,OH,10.1
39021,OH,10.1
39027,OH,10.1
39011,OH,10.1
39019,OH,10.1
